ID,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y
seq19,0.00,1.29,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.33,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq20,0.00,1.00,1.00,0.00,1.00,1.29,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00, 
seq21,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00, 
seq22,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00, 
seq23,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.33,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
seq24,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.33,1.67,1.00,1.00,0.00,1.40,1.00,1.00,1.00,1.00,1.00,1.00, 
seq25,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.63,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq26,1.22,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.40,0.00,1.67,0.00,1.67,0.00,1.50,0.00,1.00,0.00,1.00, 
seq27,1.50,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.40,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq28,1.00,1.00,1.00,1.00,1.00,1.33,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00, 
seq29,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00, 
seq30,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.25,1.62,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq31,1.00,1.00,1.67,1.00,0.00,0.00,1.67,1.00,1.67,1.40,0.00,1.00,0.00,0.00,1.67,0.00,0.00,1.00,0.00,0.00, 
seq32,1.40,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq33,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.82,1.00,1.00,0.00,1.00,0.00, 
seq34,1.00,1.00,0.00,0.00,1.00,1.40,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.50,1.00,1.00,1.00,0.00,1.00, 
seq35,1.00,1.00,0.00,1.00,0.00,1.50,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.50,0.00,1.00,1.00,1.00,0.00,1.00, 
seq36,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00, 
seq37,1.25,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.50,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq38,0.00,1.29,0.00,0.00,1.00,1.29,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.22,0.00,1.00,1.00,1.00,1.00, 
seq39,1.86,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.50,0.00,1.00,0.00,1.00,0.00,0.00, 
seq40,1.00,1.22,1.00,1.00,0.00,1.00,0.00,1.40,1.33,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.40,1.00,1.00,1.00, 
seq41,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.40,1.00,1.00,1.00,1.00,1.00, 
seq42,1.00,0.00,0.00,1.00,0.00,1.67,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.67,0.00,1.00,1.00,1.67, 
seq43,1.40,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00, 
seq44,1.33,0.00,1.00,1.00,1.00,1.40,1.00,1.00,1.25,0.00,0.00,1.00,0.00,0.00,1.67,1.00,1.00,1.00,0.00,1.00, 
seq45,1.00,0.00,1.00,0.00,1.00,1.33,1.00,1.40,2.29,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq46,1.00,0.00,0.00,1.00,0.00,1.33,1.00,1.40,1.33,1.00,0.00,1.00,0.00,1.40,1.00,1.00,1.00,1.00,0.00,1.00, 
seq47,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq48,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00, 
seq49,1.00,0.00,1.00,1.22,1.00,1.00,0.00,1.00,1.22,1.00,0.00,1.25,1.00,2.00,0.00,1.00,1.00,1.00,0.00,1.00, 
seq50,1.25,0.00,1.00,1.40,1.67,1.50,0.00,1.50,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq51,1.00,1.00,1.00,1.50,1.00,1.29,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.67,1.00,1.00,1.00,1.00,1.00, 
seq52,1.00,0.00,1.29,1.00,0.00,1.00,1.00,1.40,1.00,1.00,0.00,1.00,1.00,0.00,1.50,1.00,1.67,1.00,1.00,1.00, 
seq53,0.00,0.00,1.00,0.00,1.00,1.50,1.00,1.89,1.50,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq54,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.29,1.00,1.00,0.00,0.00,1.00,1.00,1.33,1.00,1.00,1.00,1.00,1.00, 
seq55,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.50,0.00,0.00,0.00,0.00,1.00,1.67,0.00,1.00,1.00,1.67, 
seq56,1.22,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.50,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00, 
seq57,0.00,1.00,0.00,0.00,0.00,1.67,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.89,1.00,1.00,1.00,0.00,1.50, 
seq58,1.50,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.50,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq59,0.00,1.29,0.00,1.00,1.00,1.22,0.00,1.00,1.00,1.00,0.00,1.00,1.50,1.00,1.00,1.00,0.00,1.00,0.00,1.00, 
seq60,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.67,1.00,1.67,0.00,0.00,1.00,1.00,1.33,0.00,1.00,1.00,1.00,0.00, 
seq61,0.00,0.00,1.00,1.00,1.50,1.00,0.00,1.00,1.00,1.29,0.00,0.00,0.00,1.00,1.29,1.00,0.00,0.00,0.00,0.00, 
seq62,0.00,0.00,0.00,0.00,1.33,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.71,0.00,1.62,0.00,0.00,0.00,0.00,1.00, 
seq63,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.73,0.00,1.00,0.00,1.00,1.00,0.00,1.00, 
seq64,0.00,0.00,0.00,0.00,1.50,1.40,1.40,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00, 
seq65,1.44,0.00,1.00,0.00,0.00,1.33,0.00,0.00,1.83,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00, 
seq66,1.57,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.25,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00, 
seq67,2.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.89,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00, 
seq68,0.00,0.00,1.00,0.00,0.00,1.33,0.00,1.00,1.50,1.33,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
seq69,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00, 
seq70,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,2.67,1.33,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.67,1.00,0.00, 
seq71,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.67,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq72,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.33,1.40,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00, 
seq73,1.50,0.00,0.00,0.00,1.00,1.00,0.00,1.00,2.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.67,1.00,0.00, 
seq74,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq75,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00, 
seq76,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.67,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.50,0.00,0.00, 
seq77,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.67,1.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,1.00,0.00,0.00, 
seq78,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.40,0.00,0.00, 
seq79,1.00,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq80,0.00,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.50,0.00,1.29,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00, 
seq81,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.40,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00, 
seq82,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.50,1.00,0.00,1.50,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00, 
seq83,1.20,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.20,1.25,1.00,1.00,1.00,1.50,1.00,1.00,0.00,1.00,0.00,0.00, 
seq84,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq85,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.50,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00, 
seq86,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,2.14,0.00,1.00,0.00,0.00,0.00,1.00, 
seq87,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.33,0.00,1.00,0.00,0.00,0.00,1.00,1.50,1.00,1.00,0.00, 
seq88,1.40,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq89,1.00,0.00,0.00,0.00,0.00,1.33,0.00,1.00,1.33,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.25,0.00,0.00, 
seq90,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00, 
seq91,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.29,0.00,0.00,0.00,1.50,1.00,1.00,1.00,1.00,0.00,1.00, 
seq92,1.00,1.29,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.50,0.00,1.00,0.00,1.40, 
seq93,0.00,1.00,0.00,0.00,1.40,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00, 
seq94,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.29,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00, 
seq95,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.33,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq96,1.00,0.00,1.00,0.00,1.00,1.40,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00, 
seq97,1.00,0.00,1.00,1.40,1.00,1.29,0.00,0.00,1.31,1.25,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00, 
seq98,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.40,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq99,0.00,1.00,1.40,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq100,1.00,0.00,1.00,0.00,1.00,2.43,1.14,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00, 
seq101,1.29,1.00,1.29,1.00,1.00,1.00,1.44,1.00,1.00,1.00,1.00,1.25,1.00,1.33,1.00,1.00,1.00,1.00,0.00,1.00, 
seq102,1.00,0.00,0.00,0.00,1.00,1.40,0.00,1.00,1.00,1.33,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq103,1.50,1.00,1.40,1.71,1.33,1.00,0.00,1.00,1.22,1.73,1.00,1.00,1.00,1.00,1.00,1.29,1.00,1.00,0.00,1.00, 
seq104,1.00,1.29,1.00,0.00,1.00,1.40,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq105,1.00,1.29,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.40,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq106,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.67,1.50,1.00,0.00,0.00,0.00,0.00, 
seq107,0.00,0.00,0.00,0.00,1.00,1.00,1.40,1.67,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq108,1.00,1.18,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00, 
seq109,1.00,0.00,1.00,0.00,1.00,1.33,1.00,0.00,1.33,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq110,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00, 
seq111,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.50,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00, 
seq112,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.50,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00, 
seq113,0.00,0.00,0.00,0.00,1.00,1.00,1.44,1.00,1.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00, 
seq114,1.00,0.00,0.00,1.00,1.00,1.00,1.50,1.00,1.67,1.00,1.00,1.00,0.00,1.00,1.50,1.00,0.00,1.00,0.00,0.00, 
seq115,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.33,1.00,0.00,1.50,0.00,0.00,1.29,0.00,1.00,1.00,1.00,1.00, 
seq116,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.33,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00, 
seq117,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.14,1.00,1.00,1.00,0.00,1.00,1.00,1.00, 
seq118,1.00,1.29,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.77,1.00,1.00,1.00,0.00,1.00, 
seq119,0.00,1.29,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq120,0.00,1.00,1.00,1.00,1.00,1.25,1.00,0.00,1.00,1.33,1.00,1.00,1.00,0.00,1.89,1.00,1.00,1.00,0.00,1.00, 
seq121,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00, 
seq122,2.33,0.00,0.00,1.67,1.00,1.00,0.00,0.00,1.40,1.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,1.00,0.00,0.00, 
seq123,1.40,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.40,1.50,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq124,1.00,1.00,1.00,0.00,1.00,1.25,1.00,1.00,1.00,1.50,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq125,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.50,2.33,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00, 
seq126,0.00,1.00,0.00,1.00,1.00,2.00,1.00,1.00,1.29,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00, 
seq127,1.00,1.00,0.00,1.00,1.00,1.29,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00, 
seq128,1.29,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00, 
seq129,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.29,1.33,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq130,1.50,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00, 
seq131,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.40,1.00,1.00,1.00,1.00,1.50,0.00,0.00,1.00,1.00,0.00,0.00,0.00, 
seq132,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.67,1.00,1.00,1.67,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00, 
seq133,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.33,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 
seq134,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.33,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00, 
seq135,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,2.47,1.00,1.00,0.00,1.00,0.00,0.00,1.40, 
seq136,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.22,1.40,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.40,0.00,0.00, 
seq137,1.18,1.00,0.00,0.00,1.00,1.43,1.00,1.00,1.00,1.00,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq138,0.00,0.00,1.00,1.50,1.00,1.00,1.46,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00, 
seq139,1.00,1.00,0.00,1.00,1.00,1.22,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.67, 
seq140,1.50,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.44,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00, 
seq141,1.40,1.00,0.00,0.00,0.00,1.38,0.00,1.00,1.40,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq142,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.17,0.00,1.00,0.00,1.00,0.00,1.50,1.29,1.00,0.00,1.00, 
seq143,1.00,0.00,0.00,0.00,1.67,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,2.33,0.00,0.00,0.00,1.00,0.00, 
seq144,1.00,1.29,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq145,1.40,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.67,0.00,1.00,1.00,0.00,1.00,0.00, 
seq146,1.00,0.00,0.00,1.00,1.00,1.67,1.00,1.00,1.22,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00, 
seq147,1.00,1.29,1.00,1.00,1.00,1.40,1.00,1.00,1.00,1.00,0.00,1.67,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq148,1.57,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.67, 
seq149,2.33,0.00,3.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.33,2.00,0.00,1.00, 
seq150,0.00,0.00,1.00,1.22,1.00,0.00,0.00,0.00,0.00,1.50,0.00,1.00,0.00,1.00,1.62,0.00,0.00,0.00,1.00,0.00, 
seq151,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.67,1.33,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq152,1.00,1.00,1.00,1.00,1.67,1.00,0.00,1.00,1.71,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq153,1.00,0.00,0.00,1.40,0.00,1.40,0.00,1.00,0.00,1.67,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00, 
seq154,0.00,1.50,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.40,1.50,1.00, 
seq155,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq156,1.00,1.29,0.00,0.00,1.00,1.50,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00, 
seq157,0.00,1.50,0.00,1.00,1.00,1.50,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00, 
seq158,1.00,1.00,1.00,0.00,0.00,1.22,1.00,1.67,1.00,0.00,1.00,1.40,0.00,1.00,0.00,1.00,1.40,1.00,1.00,1.67, 
